Date,ADS,NKE
2023-04-28,158.772247,125.901894
2023-05-02,158.553162,122.852196
2023-05-03,156.003891,125.752884
2023-05-04,155.764893,126.04097
2023-05-05,169.626587,124.272736
2023-05-08,168.989273,122.69326
2023-05-09,164.80687,121.411789
2023-05-10,163.034317,119.415077
2023-05-11,166.440002,119.03759
2023-05-12,164.839996,115.709747
2023-05-15,166.179993,116.206444
2023-05-16,162.119995,118.083939
2023-05-17,162.639999,114.001122
2023-05-18,164.440002,109.451401
2023-05-19,159.020004,108.060661
2023-05-22,162.220001,107.573906
2023-05-23,162.220001,106.769257
2023-05-24,154.080002,106.799057
2023-05-25,153.960007,105.815605
2023-05-26,155.440002,104.563942
2023-05-29,154.320007,102.944717
2023-05-30,155.360001,107.419708
2023-05-31,151.5,104.848328
2023-06-01,151.5,105.835022
2023-06-02,159.520004,106.73201
2023-06-05,158.300003,105.844986
2023-06-06,159.679993,105.506126
2023-06-07,159.259995,106.472885
2023-06-08,159.020004,106.42305
2023-06-09,160,112.482727
2023-06-12,160,112.034233
2023-06-13,172.800003,113.210281
2023-06-14,174.699997,109.17382
2023-06-15,174.179993,109.612358
2023-06-16,174.820007,110.090744
2023-06-19,172.160004,109.153885
2023-06-20,169.440002,111.366463
2023-06-21,176.679993,113.230217
2023-06-22,181.380005,112.652153
2023-06-23,176.880005,112.99102
2023-06-26,176.580002,110.001053
2023-06-27,173.559998,108.745262
2023-06-28,172.460007,106.741974
2023-06-29,173.520004,104.748665
2023-06-30,177.779999,104.110802
2023-07-03,176.619995,105.426392
2023-07-04,178.639999,107.031006
2023-07-05,174.419998,107.399773
2023-07-06,164.740005,107.4795
2023-07-07,166.619995,107.589134
2023-07-10,167.339996,108.346596
2023-07-11,171.619995,109.353218
2023-07-12,174.139999,109.51268
2023-07-13,174.020004,107.17054
2023-07-14,173.259995,108.695427
2023-07-17,172.639999,108.406395
2023-07-18,173.440002,107.937973
2023-07-19,172.300003,108.934631
2023-07-20,171,107.310074
2023-07-21,172.699997,108.256897
2023-07-24,174.800003,110.020981
2023-07-25,181.5,109.034294
2023-07-26,177.479996,107.150612
2023-07-27,182.100006,108.276833
2023-07-28,185.139999,108.446259
2023-07-31,184,110.11068
2023-08-01,182.419998,109.323326
2023-08-02,178.660004,109.323326
2023-08-03,179.5,108.665527
2023-08-04,181.259995,107.728668
2023-08-07,181.259995,107.280174
2023-08-08,175.660004,106.193817
2023-08-09,177.179993,106.173882
2023-08-10,182.440002,104.698837
2023-08-11,177.940002,104.459633
2023-08-14,178.199997,102.516151
2023-08-15,179.740005,101.120834
2023-08-16,185.080002,98.419891
2023-08-17,185,97.303635
2023-08-18,183.600006,98.50959
2023-08-21,183.740005,99.296944
2023-08-22,184,101.429794
2023-08-23,177.919998,101.75869
2023-08-24,176.240005,101.369995
2023-08-25,176.440002,102.360001
2023-08-28,177.800003,100.32
2023-08-29,181.520004,100.18
